Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
2,0.139,1.4,@marizmarcella,1175,"Wed, 12 Feb 2020 03:49:26 GMT",,300,3,user_mentions
2,0.133,1.4,@jorgego08987896,13603,"Wed, 12 Feb 2020 03:49:34 GMT",,300,3,user_mentions
3,0.132,1.1,@pedro_ottoni,5594,"Wed, 12 Feb 2020 03:52:07 GMT",,500,5,user_mentions
3,0.132,1.2,@pauloe2pro,3740,"Wed, 12 Feb 2020 03:40:08 GMT",http://pbs.twimg.com/media/EQi7fqKW4AITi7u.jpg,400,4,user_mentions
87,0.132,0.7,@wendersonhott,57,"Wed, 12 Feb 2020 03:55:41 GMT",,17000,170,user_mentions
4,0.132,0.9,@leo_netto04,4778,"Wed, 12 Feb 2020 03:45:49 GMT",,700,7,user_mentions
3,0.129,1.4,@yurigue81639339,10368,"Wed, 12 Feb 2020 03:54:36 GMT",,300,3,user_mentions
4,0.129,0.9,#somostodoshansriver,10077,"Wed, 12 Feb 2020 03:51:37 GMT",,900,9,hashtags
207,0.128,0.7,@monicawaldvogel,20,"Wed, 12 Feb 2020 03:56:16 GMT",,33900,339,user_mentions
2,0.126,2.5,@edmarbonoro,10197,"Wed, 12 Feb 2020 03:50:56 GMT",,200,2,user_mentions
1,0.125,2.2,@petracostal,8613,"Wed, 12 Feb 2020 03:45:15 GMT",http://pbs.twimg.com/media/EQi8zGQX0AIXXR4.jpg,200,2,user_mentions
2,0.125,2.4,https://twitter.com/enassilva3/status/1227436356604964866/photo/1,6164,"Wed, 12 Feb 2020 03:47:54 GMT",http://pbs.twimg.com/media/EQi63EbXUAEMyqU.jpg,200,2,media
2,0.125,2.4,@enassilva3,7416,"Wed, 12 Feb 2020 03:47:54 GMT",http://pbs.twimg.com/media/EQi63EbXUAEMyqU.jpg,200,2,user_mentions
2,0.123,2.4,#hansriver,565,"Wed, 12 Feb 2020 03:40:59 GMT",,200,2,hashtags
1,0.121,2.1,@rosananeves1,7961,"Wed, 12 Feb 2020 03:52:07 GMT",,200,2,user_mentions
3,0.119,1.0,https://twitter.com/mara56980224/status/1227413933767757827/photo/1,2382,"Wed, 12 Feb 2020 03:40:20 GMT",http://pbs.twimg.com/tweet_video_thumb/EQimdSLXkAEUOXs.jpg,500,5,media
3,0.119,1.0,@mara56980224,2380,"Wed, 12 Feb 2020 03:40:20 GMT",http://pbs.twimg.com/tweet_video_thumb/EQimdSLXkAEUOXs.jpg,500,5,user_mentions
